Bin Edges (MeV)	Photon Count
2.6e-07	12219.0
0.01098077	11966.0
0.02196128	11800.0
0.0329418	11506.0
0.04392231	11298.0
0.05490283	11174.0
0.06588334	11478.0
0.07686385	12595.0
0.08784437	15424.0
0.09882488	19878.0
0.1098054	25849.0
0.12078591	31478.0
0.13176642	36018.0
0.14274694	39596.0
0.15372745	43096.0
0.16470796	45820.0
0.17568848	48413.0
0.18666899	51085.0
0.19764951	52866.0
0.20863002	54615.0
0.21961053	56909.0
0.23059105	59019.0
0.24157156	60122.0
0.25255207	62312.0
0.26353259	63734.0
0.2745131	64491.0
0.28549362	64530.0
0.29647413	65333.0
0.30745464	64375.0
0.31843516	64655.0
0.32941567	64160.0
0.34039618	63622.0
0.3513767	62869.0
0.36235721	61901.0
0.37333773	61015.0
0.38431824	59743.0
0.39529875	58788.0
0.40627927	57189.0
0.41725978	56356.0
0.42824029	55391.0
0.43922081	54122.0
0.45020132	52553.0
0.46118184	51253.0
0.47216235	50081.0
0.48314286	49242.0
0.49412338	47803.0
0.50510389	46570.0
0.5160844	45413.0
0.52706492	44667.0
0.53804543	43228.0
0.54902595	42631.0
0.56000646	40750.0
0.57098697	40097.0
0.58196749	38874.0
0.592948	37784.0
0.60392851	36745.0
0.61490903	36542.0
0.62588954	35242.0
0.63687006	34118.0
0.64785057	33637.0
0.65883108	32550.0
0.6698116	32032.0
0.68079211	31324.0
0.69177262	30591.0
0.70275314	29651.0
0.71373365	29252.0
0.72471417	28425.0
0.73569468	28187.0
0.74667519	27245.0
0.75765571	26519.0
0.76863622	26220.0
0.77961673	25444.0
0.79059725	24569.0
0.80157776	24228.0
0.81255828	23758.0
0.82353879	22938.0
0.8345193	22813.0
0.84549982	22250.0
0.85648033	21605.0
0.86746084	21237.0
0.87844136	20844.0
0.88942187	20535.0
0.90040239	20246.0
0.9113829	19608.0
0.92236341	19094.0
0.93334393	18819.0
0.94432444	18317.0
0.95530495	18107.0
0.96628547	17832.0
0.97726598	17629.0
0.9882465	17106.0
0.99922701	16830.0
1.01020752	16399.0
1.02118804	15762.0
1.03216855	15765.0
1.04314906	15625.0
1.05412958	15531.0
1.06511009	14861.0
1.07609061	14916.0
1.08707112	14605.0
1.09805163	14276.0
1.10903215	13735.0
1.12001266	13456.0
1.13099317	13429.0
1.14197369	13590.0
1.1529542	12997.0
1.16393472	12848.0
1.17491523	12336.0
1.18589574	12360.0
1.19687626	12127.0
1.20785677	11968.0
1.21883728	11687.0
1.2298178	11148.0
1.24079831	11232.0
1.25177883	11023.0
1.26275934	10817.0
1.27373985	10806.0
1.28472037	10751.0
1.29570088	10371.0
1.30668139	10379.0
1.31766191	9884.0
1.32864242	9723.0
1.33962294	9570.0
1.35060345	9401.0
1.36158396	9014.0
1.37256448	9158.0
1.38354499	8970.0
1.3945255	8866.0
1.40550602	8426.0
1.41648653	8383.0
1.42746705	8287.0
1.43844756	8358.0
1.44942807	7997.0
1.46040859	8000.0
1.4713891	7848.0
1.48236961	7582.0
1.49335013	7578.0
1.50433064	7636.0
1.51531116	7033.0
1.52629167	7098.0
1.53727218	6978.0
1.5482527	6888.0
1.55923321	6793.0
1.57021373	6681.0
1.58119424	6601.0
1.59217475	6455.0
1.60315527	6436.0
1.61413578	6299.0
1.62511629	6153.0
1.63609681	6144.0
1.64707732	6036.0
1.65805784	5928.0
1.66903835	5800.0
1.68001886	5436.0
1.69099938	5707.0
1.70197989	5596.0
1.7129604	5506.0
1.72394092	5445.0
1.73492143	5277.0
1.74590195	5202.0
1.75688246	5113.0
1.76786297	5059.0
1.77884349	4961.0
1.789824	4865.0
1.80080451	4720.0
1.81178503	4652.0
1.82276554	4557.0
1.83374606	4501.0
1.84472657	4380.0
1.85570708	4443.0
1.8666876	4199.0
1.87766811	4112.0
1.88864862	4196.0
1.89962914	4053.0
1.91060965	3916.0
1.92159017	3930.0
1.93257068	3885.0
1.94355119	3863.0
1.95453171	3821.0
1.96551222	3619.0
1.97649273	3519.0
1.98747325	3547.0
1.99845376	3514.0
2.00943428	3430.0
2.02041479	3430.0
2.0313953	3295.0
2.04237582	3150.0
2.05335633	3226.0
2.06433684	3269.0
2.07531736	3051.0
2.08629787	3037.0
2.09727839	3125.0
2.1082589	2981.0
2.11923941	2857.0
2.13021993	2758.0
2.14120044	2762.0
2.15218095	2779.0
2.16316147	2613.0
2.17414198	2560.0
2.1851225	2633.0
2.19610301	2464.0
2.20708352	2449.0
2.21806404	2517.0
2.22904455	2361.0
2.24002506	2303.0
2.25100558	2222.0
2.26198609	2258.0
2.27296661	2157.0
2.28394712	2185.0
2.29492763	2098.0
2.30590815	2112.0
2.31688866	1908.0
2.32786917	1947.0
2.33884969	1887.0
2.3498302	1848.0
2.36081072	1871.0
2.37179123	1798.0
2.38277174	1721.0
2.39375226	1697.0
2.40473277	1627.0
2.41571328	1620.0
2.4266938	1570.0
2.43767431	1544.0
2.44865483	1410.0
2.45963534	1516.0
2.47061585	1413.0
2.48159637	1398.0
2.49257688	1357.0
2.50355739	1302.0
2.51453791	1286.0
2.52551842	1240.0
2.53649894	1204.0
2.54747945	1225.0
2.55845996	1134.0
2.56944048	1096.0
2.58042099	1066.0
2.5914015	1079.0
2.60238202	1038.0
2.61336253	976.0
2.62434305	959.0
2.63532356	935.0
2.64630407	847.0
2.65728459	840.0
2.6682651	801.0
2.67924561	802.0
2.69022613	783.0
2.70120664	741.0
2.71218716	679.0
2.72316767	699.0
2.73414818	657.0
2.7451287	647.0
2.75610921	615.0
2.76708972	546.0
2.77807024	547.0
2.78905075	528.0
2.80003127	474.0
2.81101178	398.0
2.82199229	425.0
2.83297281	378.0
2.84395332	300.0
2.85493383	329.0
2.86591435	281.0
2.87689486	245.0
2.88787538	262.0
2.89885589	245.0
2.9098364	186.0
2.92081692	137.0
2.93179743	135.0
2.94277794	122.0
2.95375846	106.0
2.96473897	273.0
2.97571949	105.0
