Bin Edges (MeV)	Photon Count
5.8e-07	25452.0
0.01099053	24927.0
0.02198048	24825.0
0.03297043	24734.0
0.04396038	24982.0
0.05495033	24650.0
0.06594028	25470.0
0.07693023	27538.0
0.08792018	33723.0
0.09891013	43641.0
0.10990008	56397.0
0.12089003	69017.0
0.13187998	79246.0
0.14286993	87380.0
0.15385988	94601.0
0.16484983	99855.0
0.17583977	106247.0
0.18682972	110500.0
0.19781967	114293.0
0.20880962	116913.0
0.21979957	120510.0
0.23078952	124729.0
0.24177947	126672.0
0.25276942	131553.0
0.26375937	132599.0
0.27474932	134727.0
0.28573927	135787.0
0.29672922	135406.0
0.30771917	136470.0
0.31870912	136065.0
0.32969907	134234.0
0.34068902	132138.0
0.35167897	131587.0
0.36266892	129630.0
0.37365887	127903.0
0.38464882	126233.0
0.39563877	123257.0
0.40662872	120939.0
0.41761866	119109.0
0.42860861	115254.0
0.43959856	114086.0
0.45058851	111099.0
0.46157846	108903.0
0.47256841	106835.0
0.48355836	104719.0
0.49454831	101928.0
0.50553826	101136.0
0.51652821	97178.0
0.52751816	95084.0
0.53850811	93144.0
0.54949806	91145.0
0.56048801	88752.0
0.57147796	86797.0
0.58246791	85369.0
0.59345786	83645.0
0.60444781	81109.0
0.61543776	79229.0
0.62642771	77910.0
0.63741766	76305.0
0.64840761	74471.0
0.65939756	72547.0
0.6703875	71395.0
0.68137745	69941.0
0.6923674	68122.0
0.70335735	66854.0
0.7143473	65832.0
0.72533725	64009.0
0.7363272	63231.0
0.74731715	61994.0
0.7583071	61197.0
0.76929705	59437.0
0.780287	58146.0
0.79127695	56523.0
0.8022669	56184.0
0.81325685	55013.0
0.8242468	53363.0
0.83523675	52394.0
0.8462267	52254.0
0.85721665	50787.0
0.8682066	49801.0
0.87919655	49374.0
0.8901865	48515.0
0.90117645	47280.0
0.91216639	46549.0
0.92315634	45818.0
0.93414629	45152.0
0.94513624	44521.0
0.95612619	43479.0
0.96711614	42925.0
0.97810609	41848.0
0.98909604	40904.0
1.00008599	41249.0
1.01107594	40371.0
1.02206589	39978.0
1.03305584	38585.0
1.04404579	38163.0
1.05503574	38042.0
1.06602569	37341.0
1.07701564	36724.0
1.08800559	35914.0
1.09899554	35397.0
1.10998549	35051.0
1.12097544	34746.0
1.13196539	33819.0
1.14295534	33326.0
1.15394529	33231.0
1.16493523	32147.0
1.17592518	32157.0
1.18691513	31551.0
1.19790508	30793.0
1.20889503	30722.0
1.21988498	30460.0
1.23087493	29617.0
1.24186488	29461.0
1.25285483	28472.0
1.26384478	28396.0
1.27483473	28057.0
1.28582468	27734.0
1.29681463	27513.0
1.30780458	26385.0
1.31879453	26657.0
1.32978448	25784.0
1.34077443	25845.0
1.35176438	25462.0
1.36275433	24699.0
1.37374428	24700.0
1.38473423	24284.0
1.39572418	24004.0
1.40671412	24123.0
1.41770407	23192.0
1.42869402	23103.0
1.43968397	22799.0
1.45067392	22513.0
1.46166387	22498.0
1.47265382	21789.0
1.48364377	21349.0
1.49463372	21337.0
1.50562367	21085.0
1.51661362	20820.0
1.52760357	20536.0
1.53859352	20322.0
1.54958347	19909.0
1.56057342	19850.0
1.57156337	19468.0
1.58255332	19246.0
1.59354327	18797.0
1.60453322	18584.0
1.61552317	18951.0
1.62651312	18829.0
1.63750307	17977.0
1.64849301	17637.0
1.65948296	17537.0
1.67047291	17466.0
1.68146286	16861.0
1.69245281	16980.0
1.70344276	17100.0
1.71443271	16638.0
1.72542266	16333.0
1.73641261	15916.0
1.74740256	15588.0
1.75839251	15894.0
1.76938246	15433.0
1.78037241	15558.0
1.79136236	15210.0
1.80235231	15002.0
1.81334226	14605.0
1.82433221	14738.0
1.83532216	14337.0
1.84631211	14381.0
1.85730206	13881.0
1.86829201	14043.0
1.87928196	13809.0
1.89027191	13661.0
1.90126185	13428.0
1.9122518	13177.0
1.92324175	13189.0
1.9342317	13246.0
1.94522165	12863.0
1.9562116	12743.0
1.96720155	12442.0
1.9781915	12489.0
1.98918145	12361.0
2.0001714	12171.0
2.01116135	12064.0
2.0221513	12005.0
2.03314125	11656.0
2.0441312	11712.0
2.05512115	11547.0
2.0661111	11500.0
2.07710105	11175.0
2.088091	10859.0
2.09908095	10971.0
2.1100709	10857.0
2.12106085	10658.0
2.1320508	10845.0
2.14304074	10516.0
2.15403069	10363.0
2.16502064	10283.0
2.17601059	10157.0
2.18700054	9829.0
2.19799049	10092.0
2.20898044	10055.0
2.21997039	9778.0
2.23096034	9759.0
2.24195029	9434.0
2.25294024	9406.0
2.26393019	9330.0
2.27492014	9168.0
2.28591009	9086.0
2.29690004	8869.0
2.30788999	8838.0
2.31887994	8724.0
2.32986989	8536.0
2.34085984	8586.0
2.35184979	8478.0
2.36283974	8526.0
2.37382969	8442.0
2.38481964	8498.0
2.39580958	8088.0
2.40679953	8174.0
2.41778948	8198.0
2.42877943	7726.0
2.43976938	7707.0
2.45075933	7775.0
2.46174928	7601.0
2.47273923	7587.0
2.48372918	7515.0
2.49471913	7358.0
2.50570908	7262.0
2.51669903	7166.0
2.52768898	6961.0
2.53867893	7198.0
2.54966888	6992.0
2.56065883	6897.0
2.57164878	6477.0
2.58263873	6736.0
2.59362868	6783.0
2.60461863	6667.0
2.61560858	6465.0
2.62659853	6514.0
2.63758847	6447.0
2.64857842	6387.0
2.65956837	6276.0
2.67055832	6211.0
2.68154827	6084.0
2.69253822	6119.0
2.70352817	5912.0
2.71451812	5789.0
2.72550807	5732.0
2.73649802	5706.0
2.74748797	5702.0
2.75847792	5469.0
2.76946787	5501.0
2.78045782	5405.0
2.79144777	5284.0
2.80243772	5452.0
2.81342767	5263.0
2.82441762	5232.0
2.83540757	5240.0
2.84639752	5229.0
2.85738747	5305.0
2.86837742	4925.0
2.87936737	4986.0
2.89035731	4867.0
2.90134726	4809.0
2.91233721	4803.0
2.92332716	4766.0
2.93431711	4767.0
2.94530706	4520.0
2.95629701	4563.0
2.96728696	4543.0
2.97827691	4289.0
2.98926686	4593.0
3.00025681	4042.0
3.01124676	4302.0
3.02223671	4199.0
3.03322666	4167.0
3.04421661	4140.0
3.05520656	3991.0
3.06619651	4057.0
3.07718646	4012.0
3.08817641	3908.0
3.09916636	4044.0
3.11015631	3721.0
3.12114626	3948.0
3.1321362	3888.0
3.14312615	3608.0
3.1541161	3590.0
3.16510605	3536.0
3.176096	3457.0
3.18708595	3399.0
3.1980759	3475.0
3.20906585	3403.0
3.2200558	3451.0
3.23104575	3332.0
3.2420357	3361.0
3.25302565	3211.0
3.2640156	3170.0
