Bin Edges (MeV)	Neutron Count
0.0	0.01871871
0.00235477	0.03824577
0.00735322	0.03793141
0.01235167	0.03795255
0.01735012	0.03761177
0.02234858	0.03715477
0.02734703	0.03684834
0.03234548	0.05027428
0.03734393	0.0602493
0.04234238	0.05993591
0.04734083	0.05898268
0.05233929	0.05753325
0.05733774	0.05841249
0.06233619	0.05774218
0.06733464	0.06514012
0.07233309	0.06966534
0.07733154	0.06832789
0.08233	0.0678767
0.08732845	0.06894559
0.0923269	0.06622772
0.09732535	0.06554557
0.1023238	0.07234224
0.10732225	0.07247602
0.1123207	0.07032133
0.11731916	0.07124137
0.12231761	0.0704994
0.12731606	0.07005422
0.13231451	0.06870086
0.13731296	0.0714932
0.14231141	0.07283729
0.14730987	0.0701978
0.15230832	0.07087653
0.15730677	0.07114048
0.16230522	0.07136672
0.16730367	0.06933539
0.17230212	0.07107799
0.17730058	0.06983497
0.18229903	0.0712774
0.18729748	0.06863848
0.19229593	0.06988815
0.19729438	0.07029362
0.20229283	0.06955019
0.20729129	0.07297005
0.21228974	0.07143697
0.21728819	0.07170668
0.22228664	0.07025168
0.22728509	0.06995358
0.23228354	0.06905929
0.237282	0.07098084
0.24228045	0.0737589
0.2472789	0.07225949
0.25227735	0.07238065
0.2572758	0.07311521
0.26227425	0.07158551
0.26727271	0.07037386
0.27227116	0.07043953
0.27726961	0.07249023
0.28226806	0.07321906
0.28726651	0.07194562
0.29226496	0.07332318
0.29726342	0.07211381
0.30226187	0.07047194
0.30726032	0.07026223
0.31225877	0.07222096
0.31725722	0.0725482
0.32225567	0.07029104
0.32725412	0.07140703
0.33225258	0.07066024
0.33725103	0.06920021
0.34224948	0.07088358
0.34724793	0.07313482
0.35224638	0.07026952
0.35724483	0.06838262
0.36224329	0.06916883
0.36724174	0.06883688
0.37224019	0.06985895
0.37723864	0.06910572
0.38223709	0.0709092
0.38723554	0.06826381
0.392234	0.06961368
0.39723245	0.0672129
0.4022309	0.06695923
0.40722935	0.06722196
0.4122278	0.06749298
0.41722625	0.06840049
0.42222471	0.06684572
0.42722316	0.0670705
0.43222161	0.06655537
0.43722006	0.06484138
0.44221851	0.06427005
0.44721696	0.06647782
0.45221542	0.06649081
0.45721387	0.06558354
0.46221232	0.063132
0.46721077	0.06333469
0.47220922	0.06406822
0.47720767	0.0630898
0.48220613	0.06384358
0.48720458	0.06432934
0.49220303	0.06287204
0.49720148	0.06161302
0.50219993	0.06309014
0.50719838	0.06154362
0.51219684	0.06095546
0.51719529	0.06271265
0.52219374	0.06228624
0.52719219	0.0615248
0.53219064	0.06217456
0.53718909	0.06082427
0.54218754	0.06024557
0.547186	0.06064366
0.55218445	0.06010134
0.5571829	0.0605473
0.56218135	0.05944795
0.5671798	0.05740482
0.57217825	0.05806858
0.57717671	0.05658549
0.58217516	0.0590018
0.58717361	0.05743625
0.59217206	0.05664337
0.59717051	0.05762655
0.60216896	0.05666452
0.60716742	0.05483561
0.61216587	0.05534305
0.61716432	0.05556033
