Bin Edges (MeV)	Photon Count
4.3e-07	20673.0
0.01097598	20218.0
0.02195153	20427.0
0.03292707	20161.0
0.04390262	19958.0
0.05487817	19821.0
0.06585372	20030.0
0.07682927	22605.0
0.08780482	27012.0
0.09878036	35083.0
0.10975591	44805.0
0.12073146	55047.0
0.13170701	63270.0
0.14268256	69983.0
0.1536581	75845.0
0.16463365	80884.0
0.1756092	84488.0
0.18658475	88910.0
0.1975603	92254.0
0.20853585	94645.0
0.21951139	98111.0
0.23048694	100535.0
0.24146249	103492.0
0.25243804	105797.0
0.26341359	107298.0
0.27438914	110132.0
0.28536468	110072.0
0.29634023	110483.0
0.30731578	110394.0
0.31829133	110518.0
0.32926688	109674.0
0.34024243	107755.0
0.35121797	106642.0
0.36219352	104976.0
0.37316907	104391.0
0.38414462	102195.0
0.39512017	100405.0
0.40609571	98334.0
0.41707126	96430.0
0.42804681	94578.0
0.43902236	93294.0
0.44999791	91227.0
0.46097346	88167.0
0.471949	87054.0
0.48292455	84536.0
0.4939001	82944.0
0.50487565	81030.0
0.5158512	78487.0
0.52682675	77316.0
0.53780229	75757.0
0.54877784	73238.0
0.55975339	71946.0
0.57072894	70235.0
0.58170449	68917.0
0.59268004	66686.0
0.60365558	65506.0
0.61463113	63965.0
0.62560668	62703.0
0.63658223	60986.0
0.64755778	59599.0
0.65853333	58403.0
0.66950887	57997.0
0.68048442	56207.0
0.69145997	54583.0
0.70243552	53848.0
0.71341107	53287.0
0.72438661	51764.0
0.73536216	50652.0
0.74633771	49565.0
0.75731326	48299.0
0.76828881	47218.0
0.77926436	46153.0
0.7902399	45650.0
0.80121545	44575.0
0.812191	43523.0
0.82316655	42885.0
0.8341421	42183.0
0.84511765	40658.0
0.85609319	40488.0
0.86706874	40024.0
0.87804429	39190.0
0.88901984	38143.0
0.89999539	37309.0
0.91097094	37256.0
0.92194648	36077.0
0.93292203	35537.0
0.94389758	34967.0
0.95487313	34435.0
0.96584868	33688.0
0.97682423	33086.0
0.98779977	32678.0
0.99877532	32508.0
1.00975087	31439.0
1.02072642	31260.0
1.03170197	29927.0
1.04267751	30307.0
1.05365306	29545.0
1.06462861	29374.0
1.07560416	28466.0
1.08657971	28338.0
1.09755526	28216.0
1.1085308	27448.0
1.11950635	26683.0
1.1304819	26537.0
1.14145745	26299.0
1.152433	25830.0
1.16340855	24871.0
1.17438409	25220.0
1.18535964	24367.0
1.19633519	24014.0
1.20731074	23677.0
1.21828629	23331.0
1.22926184	22824.0
1.24023738	22905.0
1.25121293	22357.0
1.26218848	22044.0
1.27316403	21718.0
1.28413958	21060.0
1.29511513	20689.0
1.30609067	20506.0
1.31706622	20169.0
1.32804177	20227.0
1.33901732	19640.0
1.34999287	19499.0
1.36096841	19170.0
1.37194396	19096.0
1.38291951	18638.0
1.39389506	18294.0
1.40487061	18337.0
1.41584616	17535.0
1.4268217	17719.0
1.43779725	17044.0
1.4487728	16995.0
1.45974835	16973.0
1.4707239	16340.0
1.48169945	16413.0
1.49267499	16210.0
1.50365054	16237.0
1.51462609	15820.0
1.52560164	15496.0
1.53657719	15463.0
1.54755274	15022.0
1.55852828	15196.0
1.56950383	14669.0
1.58047938	14797.0
1.59145493	14467.0
1.60243048	14157.0
1.61340602	13686.0
1.62438157	13754.0
1.63535712	13695.0
1.64633267	13563.0
1.65730822	13243.0
1.66828377	13144.0
1.67925931	13038.0
1.69023486	12703.0
1.70121041	12427.0
1.71218596	12420.0
1.72316151	12337.0
1.73413706	12201.0
1.7451126	12096.0
1.75608815	11963.0
1.7670637	11307.0
1.77803925	11337.0
1.7890148	11096.0
1.79999035	11385.0
1.81096589	10935.0
1.82194144	11006.0
1.83291699	10589.0
1.84389254	10306.0
1.85486809	10629.0
1.86584364	10272.0
1.87681918	10239.0
1.88779473	10155.0
1.89877028	10014.0
1.90974583	9843.0
1.92072138	9759.0
1.93169692	9662.0
1.94267247	9416.0
1.95364802	9418.0
1.96462357	9102.0
1.97559912	9071.0
1.98657467	8938.0
1.99755021	9016.0
2.00852576	8928.0
2.01950131	8581.0
2.03047686	8670.0
2.04145241	8611.0
2.05242796	8329.0
2.0634035	8248.0
2.07437905	8217.0
2.0853546	7999.0
2.09633015	8062.0
2.1073057	7796.0
2.11828125	7668.0
2.12925679	7615.0
2.14023234	7519.0
2.15120789	7313.0
2.16218344	7298.0
2.17315899	7244.0
2.18413454	7159.0
2.19511008	7072.0
2.20608563	7099.0
2.21706118	6977.0
2.22803673	6980.0
2.23901228	6925.0
2.24998782	6714.0
2.26096337	6611.0
2.27193892	6513.0
2.28291447	6211.0
2.29389002	6297.0
2.30486557	6422.0
2.31584111	6192.0
2.32681666	6009.0
2.33779221	6077.0
2.34876776	5845.0
2.35974331	5843.0
2.37071886	5781.0
2.3816944	5776.0
2.39266995	5634.0
2.4036455	5595.0
2.41462105	5464.0
2.4255966	5281.0
2.43657215	5374.0
2.44754769	5336.0
2.45852324	5280.0
2.46949879	5256.0
2.48047434	5118.0
2.49144989	4965.0
2.50242543	5022.0
2.51340098	4877.0
2.52437653	5033.0
2.53535208	4768.0
2.54632763	4753.0
2.55730318	4722.0
2.56827872	4526.0
2.57925427	4486.0
2.59022982	4568.0
2.60120537	4334.0
2.61218092	4394.0
2.62315647	4325.0
2.63413201	4152.0
2.64510756	4155.0
2.65608311	4265.0
2.66705866	4023.0
2.67803421	4033.0
2.68900976	3949.0
2.6999853	3885.0
2.71096085	3756.0
2.7219364	3884.0
2.73291195	3794.0
2.7438875	3704.0
2.75486305	3830.0
2.76583859	3717.0
2.77681414	3381.0
2.78778969	3604.0
2.79876524	3408.0
2.80974079	3402.0
2.82071633	3353.0
2.83169188	3356.0
2.84266743	3303.0
2.85364298	3353.0
2.86461853	3173.0
2.87559408	3115.0
2.88656962	3148.0
2.89754517	3118.0
2.90852072	2986.0
2.91949627	3045.0
2.93047182	2951.0
2.94144737	2915.0
2.95242291	2771.0
2.96339846	2851.0
2.97437401	2735.0
2.98534956	2705.0
2.99632511	2660.0
3.00730066	2630.0
3.0182762	2600.0
3.02925175	2448.0
3.0402273	2513.0
3.05120285	2534.0
3.0621784	2450.0
3.07315395	2323.0
3.08412949	2249.0
3.09510504	2196.0
3.10608059	2318.0
3.11705614	2238.0
3.12803169	2198.0
3.13900723	2127.0
3.14998278	2017.0
3.16095833	2122.0
3.17193388	2125.0
3.18290943	1933.0
3.19388498	1924.0
3.20486052	1913.0
3.21583607	1836.0
3.22681162	1875.0
3.23778717	1850.0
3.24876272	1684.0
3.25973827	1721.0
3.27071381	1750.0
3.28168936	1623.0
3.29266491	1711.0
3.30364046	1584.0
3.31461601	1544.0
3.32559156	1569.0
3.3365671	1548.0
3.34754265	1459.0
3.3585182	1394.0
3.36949375	1426.0
3.3804693	1458.0
3.39144485	1299.0
3.40242039	1314.0
3.41339594	1351.0
3.42437149	1264.0
3.43534704	1222.0
3.44632259	1204.0
3.45729813	1205.0
3.46827368	1109.0
3.47924923	1105.0
3.49022478	1111.0
3.50120033	1022.0
3.51217588	1095.0
3.52315142	1049.0
3.53412697	993.0
3.54510252	934.0
3.55607807	888.0
3.56705362	885.0
3.57802917	819.0
3.58900471	839.0
3.59998026	855.0
3.61095581	770.0
3.62193136	798.0
3.63290691	655.0
3.64388246	673.0
3.654858	698.0
3.66583355	671.0
3.6768091	660.0
3.68778465	579.0
3.6987602	583.0
3.70973574	560.0
3.72071129	539.0
3.73168684	532.0
3.74266239	448.0
3.75363794	443.0
3.76461349	406.0
3.77558903	422.0
3.78656458	427.0
3.79754013	342.0
3.80851568	344.0
3.81949123	330.0
3.83046678	307.0
3.84144232	280.0
3.85241787	219.0
3.86339342	245.0
3.87436897	215.0
3.88534452	189.0
3.89632007	154.0
3.90729561	161.0
3.91827116	144.0
3.92924671	115.0
3.94022226	101.0
3.95119781	80.0
3.96217336	112.0
3.9731489	114.0
3.98412445	3.0
