Bin Edges (MeV)	Photon Count
3.17859464	7192.0
3.18959323	7070.0
3.20059183	7128.0
3.21159043	6918.0
3.22258902	6979.0
3.23358762	6839.0
3.24458622	6897.0
3.25558482	6758.0
3.26658341	6729.0
3.27758201	6677.0
3.28858061	6723.0
3.2995792	6586.0
3.3105778	6559.0
3.3215764	6481.0
3.33257499	6370.0
3.34357359	6382.0
3.35457219	6161.0
3.36557078	6185.0
3.37656938	6009.0
3.38756798	6180.0
3.39856658	5968.0
3.40956517	5964.0
3.42056377	5935.0
3.43156237	5822.0
3.44256096	5727.0
3.45355956	5762.0
3.46455816	5570.0
3.47555675	5646.0
3.48655535	5734.0
3.49755395	5571.0
3.50855255	5448.0
3.51955114	5449.0
3.53054974	5469.0
3.54154834	5282.0
3.55254693	5387.0
3.56354553	5189.0
3.57454413	5202.0
3.58554272	4908.0
3.59654132	5104.0
3.60753992	4910.0
3.61853852	4969.0
3.62953711	4908.0
3.64053571	4763.0
3.65153431	4870.0
3.6625329	4680.0
3.6735315	4694.0
3.6845301	4627.0
3.69552869	4653.0
3.70652729	4419.0
3.71752589	4547.0
3.72852448	4471.0
3.73952308	4479.0
3.75052168	4496.0
3.76152028	4450.0
3.77251887	4250.0
3.78351747	4278.0
3.79451607	4204.0
3.80551466	4197.0
3.81651326	4109.0
3.82751186	4187.0
3.83851045	4049.0
3.84950905	3987.0
3.86050765	3957.0
3.87150625	3927.0
3.88250484	3922.0
3.89350344	3888.0
3.90450204	3826.0
3.91550063	3843.0
3.92649923	3672.0
3.93749783	3767.0
3.94849642	3566.0
3.95949502	3621.0
3.97049362	3587.0
3.98149222	3563.0
3.99249081	3484.0
4.00348941	3529.0
4.01448801	3426.0
4.0254866	3410.0
4.0364852	3274.0
4.0474838	3284.0
4.05848239	3160.0
4.06948099	3237.0
4.08047959	3182.0
4.09147818	3051.0
4.10247678	3185.0
4.11347538	3052.0
4.12447398	3002.0
4.13547257	2928.0
4.14647117	3023.0
4.15746977	2956.0
4.16846836	2849.0
4.17946696	2979.0
4.19046556	2878.0
4.20146415	2748.0
4.21246275	2806.0
4.22346135	2706.0
4.23445995	2674.0
4.24545854	2719.0
4.25645714	2671.0
4.26745574	2519.0
4.27845433	2537.0
4.28945293	2567.0
4.30045153	2602.0
4.31145012	2506.0
4.32244872	2413.0
4.33344732	2418.0
4.34444592	2368.0
4.35544451	2349.0
4.36644311	2396.0
4.37744171	2349.0
4.3884403	2263.0
4.3994389	2196.0
4.4104375	2248.0
4.42143609	2271.0
4.43243469	2185.0
4.44343329	2127.0
4.45443188	2047.0
4.46543048	2001.0
4.47642908	2023.0
4.48742768	1977.0
4.49842627	1982.0
4.50942487	1896.0
4.52042347	1871.0
4.53142206	1869.0
4.54242066	1812.0
4.55341926	1776.0
4.56441785	1740.0
4.57541645	1671.0
4.58641505	1762.0
4.59741365	1743.0
4.60841224	1725.0
4.61941084	1593.0
4.63040944	1628.0
4.64140803	1578.0
4.65240663	1524.0
4.66340523	1497.0
4.67440382	1493.0
4.68540242	1472.0
4.69640102	1492.0
4.70739962	1445.0
4.71839821	1465.0
4.72939681	1367.0
4.74039541	1352.0
4.751394	1313.0
4.7623926	1308.0
4.7733912	1280.0
4.78438979	1285.0
4.79538839	1168.0
4.80638699	1185.0
4.81738558	1208.0
4.82838418	1125.0
4.83938278	1094.0
4.85038138	1068.0
4.86137997	1027.0
4.87237857	1124.0
4.88337717	976.0
4.89437576	1035.0
4.90537436	945.0
4.91637296	962.0
4.92737155	946.0
4.93837015	919.0
4.94936875	871.0
4.96036735	925.0
4.97136594	875.0
4.98236454	828.0
4.99336314	776.0
5.00436173	708.0
5.01536033	765.0
5.02635893	775.0
5.03735752	726.0
5.04835612	728.0
5.05935472	705.0
5.07035332	606.0
5.08135191	619.0
5.09235051	648.0
5.10334911	625.0
5.1143477	573.0
5.1253463	568.0
5.1363449	554.0
5.14734349	528.0
5.15834209	480.0
5.16934069	515.0
5.18033928	449.0
5.19133788	450.0
5.20233648	412.0
5.21333508	411.0
5.22433367	418.0
5.23533227	406.0
5.24633087	353.0
5.25732946	351.0
5.26832806	312.0
5.27932666	286.0
5.29032525	268.0
5.30132385	255.0
5.31232245	259.0
5.32332105	244.0
5.33431964	189.0
