Bin Edges (MeV)	Neutron Count
0.0	0.00176462
0.00146943	0.00563992
0.00646391	0.00567954
0.01145839	0.00528594
0.01645287	0.00551312
0.02144736	0.00523839
0.02644184	0.00525952
0.03143632	0.00634678
0.0364308	0.0084006
0.04142528	0.00836578
0.04641976	0.0075649
0.05141424	0.00769983
0.05640872	0.00753443
0.0614032	0.0074822
0.06639769	0.00802964
0.07139217	0.00934063
0.07638665	0.00827175
0.08138113	0.00846512
0.08637561	0.00809987
0.09137009	0.00785816
0.09636457	0.0081321
0.10135905	0.00805445
0.10635354	0.00822701
0.11134802	0.00770466
0.1163425	0.00809048
0.12133698	0.00776995
0.12633146	0.00766311
0.13132594	0.00740193
0.13632042	0.0077395
0.1413149	0.00729001
0.14630938	0.00730887
0.15130387	0.00700721
0.15629835	0.00691294
0.16129283	0.00700721
0.16628731	0.00661129
0.17128179	0.00663771
0.17627627	0.0063015
0.18127075	0.00655409
0.18626523	0.0065275
0.19125972	0.00620179
0.1962542	0.00572984
0.20124868	0.00584285
0.20624316	0.00583444
0.21123764	0.00545803
0.21623212	0.00550771
0.2212266	0.00511734
0.22622108	0.00520251
0.23121556	0.00521671
0.23621005	0.00479941
0.24120453	0.00476328
0.24619901	0.00487687
0.25119349	0.00474813
0.25618797	0.0044528
0.26118245	0.00455124
0.26617693	0.00418775
0.27117141	0.00378926
0.2761659	0.00394047
0.28116038	0.0039645
0.28615486	0.00357205
0.29114934	0.00289128
0.29614382	0.00329974
0.3011383	0.00281119
0.30613278	0.00264456
0.31112726	0.00226556
0.31612174	0.00254246
0.32111623	0.00216487
0.32611071	0.00191314
0.33110519	0.00189636
0.33609967	0.00188797
0.34109415	0.00155278
0.34608863	0.00140644
0.35108311	0.00097839
0.35607759	0.00122299
0.36107208	0.00071632
0.36606656	0.00110943
0.37106104	0.00221885
0.37605552	0.00068365
