Bin Edges (MeV)	Neutron Count
0.0	0.00432173
0.00133422	0.01677974
0.00632809	0.0167454
0.01132197	0.01646539
0.01631584	0.01560157
0.02130972	0.01596876
0.02630359	0.01540345
0.03129747	0.01865988
0.03629134	0.02466644
0.04128522	0.0255892
0.04627909	0.02443139
0.05127296	0.02382202
0.05626684	0.02397872
0.06126071	0.02336935
0.06625459	0.02555371
0.07124846	0.02839789
0.07624234	0.02866645
0.08123621	0.02768888
0.08623009	0.02725918
0.09122396	0.02748477
0.09621783	0.02666297
0.10121171	0.02753123
0.10620558	0.02846806
0.11119946	0.02877078
0.11619333	0.02906757
0.12118721	0.02803475
0.12618108	0.02780918
0.13117496	0.02709689
0.13616883	0.02842891
0.1411627	0.02813568
0.14615658	0.02818596
0.15115045	0.02845619
0.15614433	0.0274004
0.1611382	0.02697305
0.16613208	0.02732498
0.17112595	0.02708307
0.17611983	0.02761891
0.1811137	0.02682126
0.18610758	0.02774521
0.19110145	0.02597707
0.19609532	0.02627619
0.2010892	0.0259106
0.20608307	0.02675341
0.21107695	0.0270985
0.21607082	0.02726174
0.2210647	0.02601967
0.22605857	0.02574996
0.23105245	0.02578545
0.23604632	0.02496213
0.24104019	0.02636599
0.24603407	0.02636843
0.25102794	0.02717114
0.25602182	0.02562629
0.26101569	0.02540668
0.26600957	0.0265426
0.27100344	0.02555066
0.27599732	0.02493228
0.28099119	0.02571717
0.28598506	0.02566111
0.29097894	0.024684
0.29597281	0.02487622
0.30096669	0.02407531
0.30596056	0.0244444
0.31095444	0.02591127
0.31594831	0.02472815
0.32094219	0.02437573
0.32593606	0.02362893
0.33092993	0.02405687
0.33592381	0.02368767
0.34091768	0.02351042
0.34591156	0.02444233
0.35090543	0.0233067
0.35589931	0.02339406
0.36089318	0.02238946
0.36588706	0.02245061
0.37088093	0.02283497
0.3758748	0.02157904
0.38086868	0.02248583
0.38586255	0.02196944
0.39085643	0.02143493
0.3958503	0.02132621
0.40084418	0.02097289
0.40583805	0.02033872
0.41083193	0.02148106
0.4158258	0.02102685
0.42081967	0.0207084
0.42581355	0.01951891
0.43080742	0.01915364
0.4358013	0.01875089
0.44079517	0.0197156
0.44578905	0.01962024
0.45078292	0.01932277
0.4557768	0.01896566
0.46077067	0.01849273
0.46576455	0.01826108
0.47075842	0.01804875
0.47575229	0.01789432
0.48074617	0.01772499
0.48574004	0.01705139
0.49073392	0.01742811
0.49572779	0.01644666
0.50072167	0.01666476
0.50571554	0.01719018
0.51070942	0.01526694
0.51570329	0.01561384
0.52069716	0.01587868
0.52569104	0.01608173
0.53068491	0.01524921
0.53567879	0.01543196
0.54067266	0.01475174
0.54566654	0.01435579
0.55066041	0.0147018
0.55565429	0.01459234
0.56064816	0.01385598
0.56564203	0.01307813
0.57063591	0.01392858
0.57562978	0.0133063
0.58062366	0.01361128
0.58561753	0.01182978
0.59061141	0.01297152
0.59560528	0.01269666
0.60059916	0.01228436
0.60559303	0.01166063
0.6105869	0.01137519
0.61558078	0.0119938
0.62057465	0.01091646
0.62556853	0.01107779
0.6305624	0.01045399
0.63555628	0.01050777
0.64055015	0.0102604
0.64554403	0.01094873
0.6505379	0.00990477
0.65553177	0.01012478
0.66052565	0.00921825
0.66551952	0.00857385
0.6705134	0.00901073
0.67550727	0.00826803
0.68050115	0.00823526
0.68549502	0.00877338
0.6904889	0.00798391
0.69548277	0.00793961
0.70047664	0.00756312
0.70547052	0.00656651
0.71046439	0.0068212
0.71545827	0.00704267
0.72045214	0.00651222
0.72544602	0.00707352
0.73043989	0.00614309
0.73543377	0.00588526
0.74042764	0.00567227
0.74542152	0.00562743
0.75041539	0.005818
0.75540926	0.00491317
0.76040314	0.00474858
0.76539701	0.00444258
0.77039089	0.00423859
0.77538476	0.00431792
0.78037864	0.00456725
0.78537251	0.00351327
0.79036639	0.00373927
0.79536026	0.00347889
0.80035413	0.00305547
0.80534801	0.0031928
0.81034188	0.00265494
0.81533576	0.00255195
0.82032963	0.00243751
0.82532351	0.00224606
0.83031738	0.00205458
0.83531126	0.00163905
0.84030513	0.00165059
0.845299	0.00156979
0.85029288	0.00150054
0.85528675	0.00094649
0.86028063	0.00097503
0.8652745	0.0008374
0.87026838	0.00141893
0.87526225	0.00097697
0.88025613	3.489e-05
